,id,review,author,start,end,product_name
0,RSD733PMDTM0N,"Bought this laptop for a student, the battery life is great, I was pretty much impress bu this laptop.
not so much for the Windows 10 in S mode, which mean you are not able to download anything that is not on the windows store, forget Chrome and Firefox browser, unless you visit Microsoft store and download the app and disable the S mode, great to have 12 months of Office 365 free. would I recommend this laptop top? to a student and light usage like movies and browsing, text editing yes, definitely fits the student budget.",TechnoMan,2020-09-15 04:59:21.336373,2020-09-15 04:59:21.389686,"Acer Aspire One, 15.6"" Full HD, Celeron ICD N4020, 4Gb RAM, 64GB eMMC, Windows 10S, Black, A115-31-C2Y3"
1,RH9OZ126L7ONU,"You're basically buying a Windows 10 alternative to a Chromebook, and on that scale it more than satisfies. Large screen, high res, respectable number of ports, lightweight, doesn't need a fan to cool. But this is just for the basics - streaming, browsing, office stuff. It's not made for heavy lifting, so know what you're getting before you buy it.",Noah,2020-09-15 04:59:21.394289,2020-09-15 04:59:21.444654,"Acer Aspire One, 15.6"" Full HD, Celeron ICD N4020, 4Gb RAM, 64GB eMMC, Windows 10S, Black, A115-31-C2Y3"
2,R4O8LCGACANFJ,It's absolutely perfect! Beautiful screen and amazing speed. I definitely do not regret buying it!!,Arwinn,2020-09-15 04:59:21.449641,2020-09-15 04:59:21.497511,"Acer Aspire One, 15.6"" Full HD, Celeron ICD N4020, 4Gb RAM, 64GB eMMC, Windows 10S, Black, A115-31-C2Y3"
3,R77ITFPPODDD4,received in original shape fast delivery works as it should,Snofrog,2020-09-15 04:59:21.503497,2020-09-15 04:59:21.553254,"Acer Aspire One, 15.6"" Full HD, Celeron ICD N4020, 4Gb RAM, 64GB eMMC, Windows 10S, Black, A115-31-C2Y3"
4,R2DXAUN9E6JZ71,"I bought this for my mom to replace her old desktop, and it works great for her general browsing, email access, etc.
Acer is always reliable.
The small flash drive storage is fine for her needs, and makes it a cheaper option, she doesn't need a huge HDD for storage.",Amazon Customer,2020-09-15 04:59:21.557212,2020-09-15 04:59:21.609272,"Acer Aspire One, 15.6"" Full HD, Celeron ICD N4020, 4Gb RAM, 64GB eMMC, Windows 10S, Black, A115-31-C2Y3"
5,RGRE31NV2QLP3,Good choice!,Mohamed Karim,2020-09-15 04:59:21.614192,2020-09-15 04:59:21.667435,"Acer Aspire One, 15.6"" Full HD, Celeron ICD N4020, 4Gb RAM, 64GB eMMC, Windows 10S, Black, A115-31-C2Y3"
6,R2YL2LAEU5YXF3,Correct mais je mentendais a un peu mieux par rapport au prix payer mais fait l'affaire pour le moment mais la bacterie ne dure vraiment pas 10h comme décrit elle dure environs 5 6 h maximum,Steven mccl,2020-09-15 04:59:21.673421,2020-09-15 04:59:21.723067,"Acer Aspire One, 15.6"" Full HD, Celeron ICD N4020, 4Gb RAM, 64GB eMMC, Windows 10S, Black, A115-31-C2Y3"
7,RUP4NRTAGWQS8,"we got one for my husband three weeks ago so we could take it camping and since he hogs most of the time LOL I decided to get my own , better then looking at an Ipad ....",Susan Hrapek,2020-09-15 04:59:21.728052,2020-09-15 04:59:21.777949,"Acer Aspire One, 15.6"" Full HD, Celeron ICD N4020, 4Gb RAM, 64GB eMMC, Windows 10S, Black, A115-31-C2Y3"
8,R1IEEZUJNXQRSS,"Même si c'est Windows, l'ordi prends peu de temps à être prêt a utiliser. Je suis heureux de mon achat qui sert surtout à imprimer des factures et des reçus et faire les impôts.",Jacques Couture,2020-09-15 04:59:21.782937,2020-09-15 04:59:21.839921,"Acer Aspire One, 15.6"" Full HD, Celeron ICD N4020, 4Gb RAM, 64GB eMMC, Windows 10S, Black, A115-31-C2Y3"
9,RH4WZYKL2LCLF,"Le produit est parfait identique à la description.... recommande Arrivé a l’avance....
Saufs la livraison demandé à purolator et amazone de faire signer le colis à l’arrivée non sonne jamais et le laisse dans portique non sécurisé. Plusieurs commandes m’ont fait ça
Vraiment pas contente pourrait me faire voler. Sinon le reste c’est magique comme dit ma fille",Katy Boulanger,2020-09-15 04:59:21.844211,2020-09-15 04:59:21.895258,"Acer Aspire One, 15.6"" Full HD, Celeron ICD N4020, 4Gb RAM, 64GB eMMC, Windows 10S, Black, A115-31-C2Y3"
