,Unnamed: 0,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,AGBQQ5L5ZMCFJ4GQE45CRQNUYSGQ,"June 15, 2020",Not same as pictured,"Product was similar, black threaded hood exit loops were silver.",yes,0,3.0,https://www.amazon.ca/savemore4u18-Universal-Refitting-Aluminum-Alloy-Mount-Bonnet/dp/B07Q71YHCZ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 21:35:06.964450,2020-09-29 21:35:13.229317,Travis M.,Clothing & Accessories,B002G9UDYG,B07Q71YHCZ
1,1,AGBQQ5L5ZMCFJ4GQE45CRQNUYSGQ,"April 29, 2020",Great tool,Great product with lots of features. Priced very well,yes,0,5.0,https://www.amazon.ca/BlueDriver-Bluetooth-Professional-iPhone-Android/dp/B00652G4TS/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 21:35:23.326771,2020-09-29 21:35:29.583029,Travis M.,Clothing & Accessories,B002G9UDYG,B00652G4TS
2,2,AGBQQ5L5ZMCFJ4GQE45CRQNUYSGQ,"April 29, 2020",Item as described,Perfect for the application,yes,0,5.0,https://www.amazon.ca/Universal-Adapater-Extender-Isolator-Exhaust/dp/B07GZP1CJ6/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 21:35:38.679567,2020-09-29 21:35:47.951892,Travis M.,Clothing & Accessories,B002G9UDYG,B07GZP1CJ6
3,3,AGBQQ5L5ZMCFJ4GQE45CRQNUYSGQ,"April 29, 2020",Great DIY kit,Item as described,yes,0,5.0,https://www.amazon.ca/Krator-Custom-Mandrel-Exhaust-Straight/dp/B07FSN8ZDF/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 21:35:56.039198,2020-09-29 21:36:03.272459,Travis M.,Clothing & Accessories,B002G9UDYG,B07FSN8ZDF
4,4,AGBQQ5L5ZMCFJ4GQE45CRQNUYSGQ,"April 29, 2020",Well worth the money,Great product at a fraction of the cost,yes,0,5.0,https://www.amazon.ca/DB-Electrical-SBO0143-Starter-Volkswagen/dp/B007Y85UG0/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 21:36:13.366549,2020-09-29 21:36:22.670152,Travis M.,Clothing & Accessories,B002G9UDYG,B007Y85UG0
5,5,AGBQQ5L5ZMCFJ4GQE45CRQNUYSGQ,"April 29, 2020",Perfect for intended use,Exactly as stated,yes,0,5.0,https://www.amazon.ca/KIMISS-M18X1-5-Oxygen-Sensor-Extension/dp/B07GZRDX6F/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 21:36:31.779083,2020-09-29 21:36:38.060623,Travis M.,Clothing & Accessories,B002G9UDYG,B07GZRDX6F
6,6,AGBQQ5L5ZMCFJ4GQE45CRQNUYSGQ,"April 29, 2020",Warm,Black fits very small compared to other colours.,yes,0,3.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 21:36:47.144422,2020-09-29 21:36:53.388314,Travis M.,Clothing & Accessories,B002G9UDYG,B002G9UDYG
7,7,AGBQQ5L5ZMCFJ4GQE45CRQNUYSGQ,"April 29, 2020",Holds your pants,Good for the price. After a few months of Daily use one has started to fray.,yes,0,5.0,https://www.amazon.ca/Braided-Elastic-Stretch-Polished-Buckle/dp/B07QKDJJSV/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 21:37:02.479089,2020-09-29 21:37:11.739794,Travis M.,Clothing & Accessories,B002G9UDYG,B07QKDJJSV
8,8,AGBQQ5L5ZMCFJ4GQE45CRQNUYSGQ,"April 29, 2020",Genuine,Exactly as stated,yes,0,5.0,https://www.amazon.ca/Dragon-Ball-Super-Part-Blu-ray/dp/B07TQYSJYV/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 21:37:19.844655,2020-09-29 21:37:26.111077,Travis M.,Clothing & Accessories,B002G9UDYG,B07TQYSJYV
9,9,AGBQQ5L5ZMCFJ4GQE45CRQNUYSGQ,"April 29, 2020",Genuine,Exactly as stated,yes,0,5.0,https://www.amazon.ca/Dragon-Ball-Super-Part-Blu-ray/dp/B07Z74ZWRG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 21:37:34.191653,2020-09-29 21:37:43.468022,Travis M.,Clothing & Accessories,B002G9UDYG,B07Z74ZWRG
10,10,AGBQQ5L5ZMCFJ4GQE45CRQNUYSGQ,"April 29, 2020",Good budget bed,Have tried to reach out to seller and company with no review or follow up. Comfortable but yet very soft. Compression pockets are not returning.,no,One,2.0,https://www.amazon.ca/BedStory-Mattress-Lavender-CertiPUR-US-Certified/dp/B07W45Y94L/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 21:37:51.571287,2020-09-29 21:37:57.821040,Travis M.,Clothing & Accessories,B002G9UDYG,B07W45Y94L
