,Unnamed: 0,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,AGF57SLJDRRX5N3U5YJV6MWBAEMA,"September 9, 2020",good brand,all right,yes,0,5.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 00:41:25.045986,2020-09-19 00:41:31.350564,Stan TroKon,Clothing & Accessories,B002G9UDYG,B002G9UDYG
1,1,AGF57SLJDRRX5N3U5YJV6MWBAEMA,"September 9, 2020",good,works nice.price is right on Amazon,yes,0,5.0,https://www.amazon.ca/AirSense-AutoSet-HumidAir-Humidifier-climateline/dp/B07YCV1RP2/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 00:41:38.436064,2020-09-19 00:41:47.703435,Stan TroKon,Clothing & Accessories,B002G9UDYG,B07YCV1RP2
2,2,AGF57SLJDRRX5N3U5YJV6MWBAEMA,"September 9, 2020",no complains.,I use it in my work boots.Feel better in combination with good working absorbing socks ☺,yes,0,5.0,https://www.amazon.ca/Dr-Scholls-Relief-Orthotics-Soles/dp/B01M4OZ9GZ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 00:41:56.795667,2020-09-19 00:42:06.066789,Stan TroKon,Clothing & Accessories,B002G9UDYG,B01M4OZ9GZ
3,3,AGF57SLJDRRX5N3U5YJV6MWBAEMA,"July 22, 2020",perfect for back sleepers,"well,4 stars cause it does not last for a while",yes,0,5.0,https://www.amazon.ca/AirTouch-F20-Medium/dp/B07CQN48TD/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 00:42:15.152686,2020-09-19 00:42:24.435511,Stan TroKon,Clothing & Accessories,B002G9UDYG,B07CQN48TD
4,4,AGF57SLJDRRX5N3U5YJV6MWBAEMA,"July 22, 2020","ok,but pricy",ok socks,yes,0,4.0,https://www.amazon.ca/Dickies-Multi-Pack-Dri-Tech-Moisture-Heel-Lock/dp/B07VFR49SW/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 00:42:32.526957,2020-09-19 00:42:41.774650,Stan TroKon,Clothing & Accessories,B002G9UDYG,B07VFR49SW
5,5,AGF57SLJDRRX5N3U5YJV6MWBAEMA,"July 22, 2020","wrong description,then right one...why?","78% Cotton, 19% Polyester, 2% Spandex, 1% Nylon
No Closure closure
Machine Wash
0.7"" high
14"" wide
55% Cotton, 42% Polyester, 2% Spandex, 1% Nylon
Imported

cotton percentage is a biggy",yes,One,1.0,https://www.amazon.ca/Dickies-Multi-Pack-Dri-Tech-Moisture-Charcoal/dp/B07N9H5HVG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 00:42:48.870244,2020-09-19 00:42:58.149578,Stan TroKon,Clothing & Accessories,B002G9UDYG,B07N9H5HVG
6,6,AGF57SLJDRRX5N3U5YJV6MWBAEMA,"June 12, 2020",Quite.big enough for traveling.It has switch-big deal,I bought it to cool my PC unit.I hope it will last....,yes,0,5.0,https://www.amazon.ca/OPOLAR-Rotating-Adjustment-Personal-Dorm-White/dp/B07B8NLLTN/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 00:43:08.237432,2020-09-19 00:43:15.551583,Stan TroKon,Clothing & Accessories,B002G9UDYG,B07B8NLLTN
7,7,AGF57SLJDRRX5N3U5YJV6MWBAEMA,"June 7, 2020",Fast boiler and cute design.,"Well.I *m making some additions later
The only option I do not like is very soft switch...
But for the money paid it is ok.I will be carefull with switch.",yes,0,5.0,https://www.amazon.ca/Avan-Pacific-360%C2%B0Cordless-Thermostat-Automatically-Protection/dp/B0763R43W5/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 00:43:23.645025,2020-09-19 00:43:30.897812,Stan TroKon,Clothing & Accessories,B002G9UDYG,B0763R43W5
8,8,AGF57SLJDRRX5N3U5YJV6MWBAEMA,"June 3, 2020",It is descent product for the price.Amazon's service is the best comparably.,"I knew it is not perfect,and I hope for very casual usage it is just ok
Nowadays customers can not rely on*NAMES*,,,,,All items are cheap and made for limited operation😏
So .to pay top?...no sence.",yes,0,4.0,https://www.amazon.ca/Premium-Hand-Blender-Removable-Blending/dp/B06Y1K9TCH/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 00:43:40.990743,2020-09-19 00:43:49.282369,Stan TroKon,Clothing & Accessories,B002G9UDYG,B06Y1K9TCH
9,9,AGF57SLJDRRX5N3U5YJV6MWBAEMA,"May 27, 2020","Size is right,accurate stitching","Basic...very basic,long non Amazon delivery...you know what it means ,and where to order it next time😏
It is not shorts,but long underpants...just ones which you can not shoke your neighbours with if they see you on a balcony or taking mail from your postbox in the lobby summertime🤣",yes,One,3.0,https://www.amazon.ca/JINSHI-Pajama-Bottoms-Shorts-Lounge/dp/B07FZT5CH6/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-19 00:43:58.374537,2020-09-19 00:44:07.643830,Stan TroKon,Clothing & Accessories,B002G9UDYG,B07FZT5CH6
