,Unnamed: 0,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,AGFYZPFTCMKRNEWU4MXUXUITCNNA,"June 6, 2020",A bit dry when I received them,"These felt a little dry when I received them, so it took a while to polish my necklace and earrings. Maybe they are better suited to silverware. Definitely need to rinse after you polish.",yes,0,3.0,https://www.amazon.ca/Silver-Tarnish-Remover-Cleaner-Wipes/dp/B07JGZ214L/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 13:54:35.014126,2020-09-30 13:54:41.471834,Sergio O.,Clothing & Accessories,B002G9UDYG,B07JGZ214L
1,1,AGFYZPFTCMKRNEWU4MXUXUITCNNA,"June 6, 2020",Great educational toy,Received this yesterday and my kids love it. They have been playing with them for hours creating all sorts of buildings and shapes. It’s also a great gift for a child and very educational. Would highly recommend.,yes,0,5.0,https://www.amazon.ca/Magnetic-Blocks-Stacking-Building-Educational/dp/B01N6HYJVF/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 13:54:49.578674,2020-09-30 13:54:58.024682,Sergio O.,Clothing & Accessories,B002G9UDYG,B01N6HYJVF
2,2,AGFYZPFTCMKRNEWU4MXUXUITCNNA,"June 2, 2020",Great quality,"These screen protectors took a little longer than normal to install, but the wet installation was worth it. After the 12 hours, no bubbles remained on the screen, and it didn’t even look like I had a screen protector on. Also, watch the video as it was very informative and took you through each step. Would recommend!",yes,0,5.0,https://www.amazon.ca/LK-Protector-Compatible-Anti-Bubble-Replacement/dp/B07CXN96BT/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 13:55:05.140996,2020-09-30 13:55:13.612376,Sergio O.,Clothing & Accessories,B002G9UDYG,B07CXN96BT
3,3,AGFYZPFTCMKRNEWU4MXUXUITCNNA,"May 18, 2020",Good quality but pricey,"These are definitely on the pricier side for pencil crayons. They are good quality, but they are a bit soft so can break easily. Would recommend for shading but not for adult colouring books!",yes,0,4.0,https://www.amazon.ca/PRISMACOLOR-Premier-Colored-Pencil-3598T/dp/B00006IEEV/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 13:55:21.728766,2020-09-30 13:55:28.193476,Sergio O.,Clothing & Accessories,B002G9UDYG,B00006IEEV
4,4,AGFYZPFTCMKRNEWU4MXUXUITCNNA,"May 18, 2020",Very bright and great quality,I installed these on my SUV and I am impressed. They are of great quality and really bright. It’s excellent value for the money. Would recommend.,yes,0,5.0,https://www.amazon.ca/Headlight-CREE-Chips-AUHDER-Bright-Conversion/dp/B07Z9X7M5P/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 13:55:38.302555,2020-09-30 13:55:44.823835,Sergio O.,Clothing & Accessories,B002G9UDYG,B07Z9X7M5P
5,5,AGFYZPFTCMKRNEWU4MXUXUITCNNA,"May 2, 2020",Great value,"Fits like the OEM, they seem to be cleaning just the same.",yes,0,5.0,https://www.amazon.ca/Altec-Filters-Pre-Filters-Replacement-Compatible/dp/B07DR665R4/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 13:55:52.933139,2020-09-30 13:56:01.331498,Sergio O.,Clothing & Accessories,B002G9UDYG,B07DR665R4
6,6,AGFYZPFTCMKRNEWU4MXUXUITCNNA,"May 2, 2020",Bright good value,"Bright, compacts and fit as stated.",yes,0,5.0,https://www.amazon.ca/EverBrightt-Motorcycle-Headlights-Bulbs-White/dp/B07CJ7ZTKX/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 13:56:11.454037,2020-09-30 13:56:18.921783,Sergio O.,Clothing & Accessories,B002G9UDYG,B07CJ7ZTKX
7,7,AGFYZPFTCMKRNEWU4MXUXUITCNNA,"May 2, 2020",Works great.,Works great.,yes,0,5.0,https://www.amazon.ca/Roleadro-Floodlight-Outdoor-Waterproof-Blacklight/dp/B07PDLF2H3/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 13:56:29.040791,2020-09-30 13:56:35.486976,Sergio O.,Clothing & Accessories,B002G9UDYG,B07PDLF2H3
8,8,AGFYZPFTCMKRNEWU4MXUXUITCNNA,"April 24, 2020",Good quality for price,"I’ve used these for a couple of weeks now and find them to be pretty good and comparable to the better name brand, as well as less expensive. Really easy to install in my purifier. Would recommend.",yes,3,5.0,https://www.amazon.ca/GermGuardian-Purifiers-FLT5250PT-Replacement-Guardian/dp/B07RJ4B96S/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 13:56:43.600894,2020-09-30 13:56:53.070442,Sergio O.,Clothing & Accessories,B002G9UDYG,B07RJ4B96S
9,9,AGFYZPFTCMKRNEWU4MXUXUITCNNA,"April 24, 2020","Great product, easy to use","I used this product for looking in very difficult to see places, such as down a drain and motorcycle engines. Since it has a light, it was easy to see to diagnose the problem, and it connects to your phone’s camera for easy viewing. Battery lasts a long time. Highly recommend.",yes,0,5.0,https://www.amazon.ca/Endoscope-Wireless-Industrial-iThrough-Inspection/dp/B08521L7J3/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 13:57:01.183540,2020-09-30 13:57:08.657716,Sergio O.,Clothing & Accessories,B002G9UDYG,B08521L7J3
10,10,AGFYZPFTCMKRNEWU4MXUXUITCNNA,"March 23, 2020",Needs flasher,You require a slower flasher for these to work,yes,0,3.0,https://www.amazon.ca/Justech-Universal-Motorbike-Indicators-Motorcycle/dp/B07GBXLBQ1/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 13:57:15.773658,2020-09-30 13:57:22.217907,Sergio O.,Clothing & Accessories,B002G9UDYG,B07GBXLBQ1
