,Unnamed: 0,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,AGJPFIG2N7UENQD7VMREP4F56G4A,"July 17, 2020",Pointless,"Didn't pad one out of 7 tries. Thanks for nothing. And it's your program as I tried 3 different devices,rebooted, restarted my router. I do internet tech support...",yes,0,1.0,https://www.amazon.ca/Coloring-Books-for-Adults-Relaxation/dp/B07Q244DS3/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 22:53:03.809754,2020-09-30 22:53:13.083644,Sarah Miller,Clothing & Accessories,B00T7U6FDK,B07Q244DS3
1,1,AGJPFIG2N7UENQD7VMREP4F56G4A,"July 7, 2020",Terrible!,Very basic. Barely any pics. Ive drawn more pics myself,yes,0,1.0,https://www.amazon.ca/Coloring-Book-Mandala-Adult-Art/dp/B01N9RBUGD/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 22:53:23.169323,2020-09-30 22:53:30.481030,Sarah Miller,Clothing & Accessories,B00T7U6FDK,B01N9RBUGD
2,2,AGJPFIG2N7UENQD7VMREP4F56G4A,"July 1, 2020",Great Colours!!!!,I actually LOVE THIS APP! THE COLOURS are amazing!!! I gave you 4 stars because there is no button to undo a mistake,yes,0,4.0,https://www.amazon.ca/Insta-Image-Editor-Coloration/dp/B07283ZJL6/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 22:53:40.575730,2020-09-30 22:53:48.826731,Sarah Miller,Clothing & Accessories,B00T7U6FDK,B07283ZJL6
3,3,AGJPFIG2N7UENQD7VMREP4F56G4A,"June 23, 2020",FAIL,"Weird colors,ugly designs, definitely staying with my other faves",yes,0,2.0,https://www.amazon.ca/arts-Coloring-Book-for-Adults/dp/B06Y6MTCD8/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 22:53:57.923705,2020-09-30 22:54:06.210179,Sarah Miller,Clothing & Accessories,B00T7U6FDK,B06Y6MTCD8
4,4,AGJPFIG2N7UENQD7VMREP4F56G4A,"October 2, 2019",So cozy!,"So cute, so comfortable & cozy. Just a bit too big
But im still wearing it!",yes,0,4.0,https://www.amazon.ca/Amazon-Essentials-Standard-Crewneck-Sweatshirt/dp/B07R8B15T6/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 22:54:16.298510,2020-09-30 22:54:23.678363,Sarah Miller,Clothing & Accessories,B00T7U6FDK,B07R8B15T6
5,5,AGJPFIG2N7UENQD7VMREP4F56G4A,"September 28, 2019",Pleased,"My mom loves it, thanks!",yes,0,5.0,https://www.amazon.ca/kwmobile-Case-Motorola-Moto-Power/dp/B07RZYKDHN/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 22:54:30.756776,2020-09-30 22:54:39.039308,Sarah Miller,Clothing & Accessories,B00T7U6FDK,B07RZYKDHN
6,6,AGJPFIG2N7UENQD7VMREP4F56G4A,"September 24, 2019","Very soft, well made",Too big but very soft & perfect material,yes,One,5.0,https://www.amazon.ca/Jerzees-Pullover-Hooded-Sweatshirt-X-Large/dp/B00T7U6R88/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 22:54:48.118298,2020-09-30 22:54:56.449686,Sarah Miller,Clothing & Accessories,B00T7U6FDK,B00T7U6R88
7,7,AGJPFIG2N7UENQD7VMREP4F56G4A,"September 5, 2019",My go-to flavored coffee brand,I love this brand so much. Ive tried their chocolate brownie & this one... & cannot say enough. I also love the price. Its about $4-$5 more expensive in stores here (ontario canada) so like to stick to ordering my coffee on amazon when i can. Also comes in a re-useable bag to keep ur k-cups fresh.,no,3,5.0,https://www.amazon.ca/Camerons-Toasted-Southern-Compatible-12-Count/dp/B00I9KZAT4/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 22:55:06.547143,2020-09-30 22:55:12.806270,Sarah Miller,Clothing & Accessories,B00T7U6FDK,B00I9KZAT4
8,8,AGJPFIG2N7UENQD7VMREP4F56G4A,"September 5, 2019",Works for blemishes too!,"Recently i was reading a beauty article online abput blemishes. They recommended this product for reducing the pimple in size & reducing the redness. For the price, i decided to give it a try as my boyfriend suffers from acne. To my surprise, it removed the redness so much.. you could barely see the pimple. Would highly recommend. I have not used this product for itching, so cannot comment on that.",yes,0,4.0,https://www.amazon.ca/Lanacane-Relief-Anti-Inch-Soothes-Anti-Bacterial/dp/B00C2A6RB2/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 22:55:22.898519,2020-09-30 22:55:30.184759,Sarah Miller,Clothing & Accessories,B00T7U6FDK,B00C2A6RB2
9,9,AGJPFIG2N7UENQD7VMREP4F56G4A,"September 5, 2019",Impressed for so little in price!,"So far so good. We do see a pimple coming to a head after applying a patch 2 hours ago. I dont agree with others that they stick perfectly to the skin but stick well enough. Happy with the different size of patches included. They do not cover up well with make up & would look funny going out with one on. I suggest putting them on before bed. So for my review, if you want pimples to come to a head alot faster, avoid picking & avoid scarring - definitely a must buy! They were extremely cheap for 48 patches, seem to be working to bring the pimple to its white head - so would purchase again for such a low price",yes,0,4.0,https://www.amazon.ca/LivaClean-Absorbing-Treatment-Overnight-Treatments/dp/B07KLW7Y9R/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 22:55:38.280869,2020-09-30 22:55:44.619148,Sarah Miller,Clothing & Accessories,B00T7U6FDK,B07KLW7Y9R
