,Unnamed: 0,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,AGW44MRMRHEW7XKPSKLBCCS2TGIQ,"July 24, 2019",Great Fun for a Group,"Easy to pick up and play, and everyone loved it! The team dynamic is very refreshing in boardgames and working together to beat the dungeon bosses is an absolute blast! This is a great game for a group of friends",yes,0,5.0,https://www.amazon.ca/Minute-Dungeon-Card-Game-Adults/dp/B01N4PN3ZP/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 08:07:16.694088,2020-09-30 08:07:25.936374,Elwin,Clothing & Accessories,B002G9UDYG,B01N4PN3ZP
1,1,AGW44MRMRHEW7XKPSKLBCCS2TGIQ,"June 19, 2019",A Great Read,"The book was great - the characters were wonderful and Eames makes you feel like Saga was a group of friends you've known your entire life. The comradery, the sacrifices, and the incredible battles were gripping but the witty dialogue and humor were easily my favorite parts of the book. If you're looking for a great read that is just the right length, Kings of the Wyld is perfect for you.",yes,0,5.0,https://www.amazon.ca/Kings-Wyld-Band-Book-One/dp/0356509028/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 08:07:33.026017,2020-09-30 08:07:39.283416,Elwin,Clothing & Accessories,B002G9UDYG,0356509028
2,2,AGW44MRMRHEW7XKPSKLBCCS2TGIQ,"February 18, 2019",Look Better in Person,The Mistborn series is incredible and the UK version art is great,yes,0,5.0,https://www.amazon.ca/Mistborn-Trilogy-Boxed-Set-Ascension/dp/147321369X/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 08:07:47.382912,2020-09-30 08:07:56.625160,Elwin,Clothing & Accessories,B002G9UDYG,147321369X
3,3,AGW44MRMRHEW7XKPSKLBCCS2TGIQ,"February 18, 2019",Light and Powerful,"This hair dryer is incredibly light and powerful. Dries my hair in 30 seconds (I have short straight hair) and the concentrator is a great attachment when I'm styling my hair with product. The matte finish is a great texture and the cord is so long you never have to worry about it getting unplugged. All in all, this is a great hair dryer and I definitely recommend if you're looking for a light, compact, and powerful tool that leaves your hair feeling nice and healthy!",yes,0,5.0,https://www.amazon.ca/dp/B07DYK8H52/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 08:08:05.720115,2020-09-30 08:08:13.972332,Elwin,Clothing & Accessories,B002G9UDYG,B07DYK8H52
4,4,AGW44MRMRHEW7XKPSKLBCCS2TGIQ,"February 18, 2019",Makes Waves not Curls,"I bought this curling iron for my girlfriend so she could curl her hair but unfortunately the Curls don't last due to their large size. It does make her hair wavy though and she seems to love it. I ended up getting a 1 inch hot tools curling iron and she absolutely loves that one. Nevertheless, this 1.25 inch curling iron heats up very fast and is built to last - if you're looking for nice wavy hair this is the tool for you",yes,0,4.0,https://www.amazon.ca/Hot-Tools-Professional-2110-Titanium/dp/B001T0HHDI/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 08:08:22.067438,2020-09-30 08:08:29.343447,Elwin,Clothing & Accessories,B002G9UDYG,B001T0HHDI
5,5,AGW44MRMRHEW7XKPSKLBCCS2TGIQ,"February 18, 2019",Sleek and Simple,"Great Case - really nice design with the vinyl backing and carbon grips. The phone has never slipped out of my hand when using it and it fits the Pixel 3 perfectly. I have dropped it a couple of times but there's not a single scratch, dent, or crack to show for it. For the price and quality it's a great purchase I would definitely recommend it!",yes,One,5.0,https://www.amazon.ca/Ringke-Compatible-Protection-Anti-Slip-Absorbent/dp/B07HFX4M3V/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 08:08:39.434775,2020-09-30 08:08:45.710219,Elwin,Clothing & Accessories,B002G9UDYG,B07HFX4M3V
6,6,AGW44MRMRHEW7XKPSKLBCCS2TGIQ,"February 11, 2019",Does the Job,"One of the discs was warped so it didn't work well at all but the other was perfect. Put some felt pads on the metal surface and you can place it on any surface, this turned a Charcuterie board into a versatile Lazy Susan that can be used for almost every occasion. Also, the best part is that its very light and thin so you don't even notice it. The only reason I am giving it a 4 star rating instead of a 5, is because one of the discs was unusable other than that it was fantastic.",yes,0,4.0,https://www.amazon.ca/Fasmov-12-Inch-Susan-Turntable-Bearings/dp/B077KNQ694/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 08:08:52.792522,2020-09-30 08:09:01.041146,Elwin,Clothing & Accessories,B002G9UDYG,B077KNQ694
7,7,AGW44MRMRHEW7XKPSKLBCCS2TGIQ,"February 11, 2019",Does Not Last,"The product is not worth the money, it is garbage after a couple of showers. The body scrubber half is not rough at all, and the other side is practically useless as it doesn't retain any soap. A standard loofa will be just as useful, please do not waste your money on this product.",yes,0,2.0,https://www.amazon.ca/Clean-Logic-Exfoliating-Scrubber-Texture/dp/B0019AAE1U/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 08:09:09.128914,2020-09-30 08:09:16.386788,Elwin,Clothing & Accessories,B002G9UDYG,B0019AAE1U
8,8,AGW44MRMRHEW7XKPSKLBCCS2TGIQ,"January 14, 2019",Great Toque,Comfy and warm - looks great!,yes,0,5.0,https://www.amazon.ca/Carhartt-Acrylic-Watch-Black-Size/dp/B002G9UDYG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 08:09:23.481588,2020-09-30 08:09:30.737045,Elwin,Clothing & Accessories,B002G9UDYG,B002G9UDYG
9,9,AGW44MRMRHEW7XKPSKLBCCS2TGIQ,"September 22, 2017",Keyboard is nice and light,"Keyboard is nice and light, doesn't have a great design and a little awkward to use with the round keys but still a good keyboard. I got it on sale for 29.99 and i feel that's a fair price for it. No complaints but nothing extraordinary which is why I'm giving it a 4/5.",yes,One,4.0,https://www.amazon.ca/Logitech-K380-Bluetooth-Keyboard-Blue/dp/B0148NPAT0/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 08:09:38.826469,2020-09-30 08:09:45.111394,Elwin,Clothing & Accessories,B002G9UDYG,B0148NPAT0
