,Unnamed: 0,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,AHTRP76BBPX55OIOETPFEMRS5HKQ,"March 11, 2018",Five Stars,Ok,yes,0,5.0,https://www.amazon.ca/Dynamic-Tools-10-Inch-Cable-Cutter/dp/B013H1Q4LC/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:25:11.202725,2020-09-30 09:25:18.554966,Jerry,Clothing & Accessories,B002G9UDYG,B013H1Q4LC
1,1,AHTRP76BBPX55OIOETPFEMRS5HKQ,"March 11, 2018",Five Stars,Ok,yes,0,5.0,https://www.amazon.ca/GENERAL-TOOLS-TV322529-Grommet-Piece/dp/B000BQQ4VW/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:25:25.655165,2020-09-30 09:25:34.065670,Jerry,Clothing & Accessories,B002G9UDYG,B000BQQ4VW
2,2,AHTRP76BBPX55OIOETPFEMRS5HKQ,"March 11, 2018",Five Stars,Great product,yes,0,5.0,https://www.amazon.ca/Irwin-2078900-Vise-Grip-2-Inch-Convertible/dp/B000JNRR0Y/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:25:42.173505,2020-09-30 09:25:48.575071,Jerry,Clothing & Accessories,B002G9UDYG,B000JNRR0Y
3,3,AHTRP76BBPX55OIOETPFEMRS5HKQ,"March 11, 2018",Five Stars,Ok,yes,0,5.0,https://www.amazon.ca/Podoy-Compressor-Pressure-Regulator-Release/dp/B075G746SY/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:25:57.674042,2020-09-30 09:26:06.084436,Jerry,Clothing & Accessories,B002G9UDYG,B075G746SY
4,4,AHTRP76BBPX55OIOETPFEMRS5HKQ,"March 11, 2018",Five Stars,Great product,yes,0,5.0,https://www.amazon.ca/TEKTON-2700-4-Inch-Stubby-Screwdriver/dp/B00DPLNLOS/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:26:16.201954,2020-09-30 09:26:25.630229,Jerry,Clothing & Accessories,B002G9UDYG,B00DPLNLOS
5,5,AHTRP76BBPX55OIOETPFEMRS5HKQ,"March 11, 2018",Five Stars,Ok,yes,0,5.0,https://www.amazon.ca/ERGOfoot-Bunion-Corrector-Protector-Sleeves/dp/B06WD5B3WL/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:26:32.738656,2020-09-30 09:26:39.117643,Jerry,Clothing & Accessories,B002G9UDYG,B06WD5B3WL
6,6,AHTRP76BBPX55OIOETPFEMRS5HKQ,"March 11, 2018",Five Stars,Ok,yes,0,5.0,https://www.amazon.ca/Arrow-Fastener-RMA3-16IP-Aluminium/dp/B0006JJPBA/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:26:48.225371,2020-09-30 09:26:56.628774,Jerry,Clothing & Accessories,B002G9UDYG,B0006JJPBA
7,7,AHTRP76BBPX55OIOETPFEMRS5HKQ,"March 11, 2018",Five Stars,Great product,yes,0,5.0,https://www.amazon.ca/Astarye-Random-Orbital-Pneumatic-Polishers/dp/B075K8DYWW/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:27:06.740328,2020-09-30 09:27:16.124093,Jerry,Clothing & Accessories,B002G9UDYG,B075K8DYWW
8,8,AHTRP76BBPX55OIOETPFEMRS5HKQ,"March 11, 2018",Five Stars,Great,yes,0,5.0,https://www.amazon.ca/Fujiyuan-Cabinet-Furniture-Wardrobe-Hardware/dp/B07263RRB7/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:27:26.224319,2020-09-30 09:27:34.639179,Jerry,Clothing & Accessories,B002G9UDYG,B07263RRB7
9,9,AHTRP76BBPX55OIOETPFEMRS5HKQ,"March 11, 2018",Five Stars,Great,yes,0,5.0,https://www.amazon.ca/Drawer-Furniture-Cabinet-wardrobe-Showcase/dp/B01LX05XR0/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:27:43.742866,2020-09-30 09:27:51.183026,Jerry,Clothing & Accessories,B002G9UDYG,B01LX05XR0
10,10,AHTRP76BBPX55OIOETPFEMRS5HKQ,"March 11, 2018",Five Stars,Great product,yes,0,5.0,https://www.amazon.ca/Task-Tools-SA16080-Signature-Sandpaper/dp/B00A4CJQKY/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:27:59.285389,2020-09-30 09:28:08.690985,Jerry,Clothing & Accessories,B002G9UDYG,B00A4CJQKY
11,11,AHTRP76BBPX55OIOETPFEMRS5HKQ,"March 11, 2018",Five Stars,Great product,yes,0,5.0,https://www.amazon.ca/Task-Tools-PA15220-Aluminum-Sandpaper/dp/B00A4CJTPQ/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:28:16.802570,2020-09-30 09:28:23.253017,Jerry,Clothing & Accessories,B002G9UDYG,B00A4CJTPQ
12,12,AHTRP76BBPX55OIOETPFEMRS5HKQ,"March 11, 2018",Five Stars,Great product,yes,0,5.0,https://www.amazon.ca/Task-Tools-SA16100-Signature-Sandpaper/dp/B00A4CJRZS/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:28:30.354741,2020-09-30 09:28:38.718698,Jerry,Clothing & Accessories,B002G9UDYG,B00A4CJRZS
13,13,AHTRP76BBPX55OIOETPFEMRS5HKQ,"March 11, 2018",Five Stars,Great product,yes,0,5.0,https://www.amazon.ca/Patriot-32GB-High-Speed-Micro/dp/B004H8FTCU/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:28:46.817757,2020-09-30 09:28:54.181440,Jerry,Clothing & Accessories,B002G9UDYG,B004H8FTCU
14,14,AHTRP76BBPX55OIOETPFEMRS5HKQ,"March 11, 2018",Five Stars,Great product,yes,0,5.0,https://www.amazon.ca/XCSOURCE-Mens-Genuine-Leather-Wallet/dp/B0114FU748/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:29:03.280418,2020-09-30 09:29:09.696140,Jerry,Clothing & Accessories,B002G9UDYG,B0114FU748
15,15,AHTRP76BBPX55OIOETPFEMRS5HKQ,"March 11, 2018",Five Stars,Great product,yes,0,5.0,https://www.amazon.ca/LePage-Ultra-Control-Bottle-1662532/dp/B00FM1AJNK/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:29:19.787729,2020-09-30 09:29:27.159800,Jerry,Clothing & Accessories,B002G9UDYG,B00FM1AJNK
16,16,AHTRP76BBPX55OIOETPFEMRS5HKQ,"March 11, 2018",Five Stars,Great product,yes,0,5.0,https://www.amazon.ca/Krazy-Glue-Advanced-Formula-6155010466/dp/B007Z7PIBW/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:29:34.257763,2020-09-30 09:29:41.694464,Jerry,Clothing & Accessories,B002G9UDYG,B007Z7PIBW
17,17,AHTRP76BBPX55OIOETPFEMRS5HKQ,"March 11, 2018",Five Stars,Great product,yes,0,5.0,https://www.amazon.ca/Genuine-Leather-Bi-fold-Wallet-Credit/dp/B01JHZ1VHE/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:29:48.777023,2020-09-30 09:29:58.096222,Jerry,Clothing & Accessories,B002G9UDYG,B01JHZ1VHE
18,18,AHTRP76BBPX55OIOETPFEMRS5HKQ,"March 11, 2018",Five Stars,Great product,yes,One,5.0,https://www.amazon.ca/STANLEY-30-455-25-by-1-Inch-Tape-Rule/dp/B00005QVRA/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:30:07.203224,2020-09-30 09:30:16.657333,Jerry,Clothing & Accessories,B002G9UDYG,B00005QVRA
19,19,AHTRP76BBPX55OIOETPFEMRS5HKQ,"March 11, 2018",Five Stars,Great product,yes,0,5.0,https://www.amazon.ca/STANLEY-28-100-16-Inch-Visibility-Mini-Razor/dp/B0006JJS30/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:30:25.765539,2020-09-30 09:30:33.142850,Jerry,Clothing & Accessories,B002G9UDYG,B0006JJS30
20,20,AHTRP76BBPX55OIOETPFEMRS5HKQ,"March 11, 2018",Five Stars,Great product,yes,0,5.0,https://www.amazon.ca/Channellock-911-Cable-Cutter/dp/B00004SBDG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:30:41.233501,2020-09-30 09:30:49.665466,Jerry,Clothing & Accessories,B002G9UDYG,B00004SBDG
21,21,AHTRP76BBPX55OIOETPFEMRS5HKQ,"March 11, 2018",Five Stars,Great product,yes,0,5.0,https://www.amazon.ca/GBM-4-R-134a-Conditioning-Heavy-Charging/dp/B004QQ8SEY/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:30:58.768212,2020-09-30 09:31:08.207186,Jerry,Clothing & Accessories,B002G9UDYG,B004QQ8SEY
22,22,AHTRP76BBPX55OIOETPFEMRS5HKQ,"March 11, 2018",Five Stars,Great product,yes,0,5.0,https://www.amazon.ca/FLIR-Systems-TA13-Protective-Thermal/dp/B00UNB6ODS/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:31:15.314177,2020-09-30 09:31:22.751463,Jerry,Clothing & Accessories,B002G9UDYG,B00UNB6ODS
23,23,AHTRP76BBPX55OIOETPFEMRS5HKQ,"March 11, 2018",Five Stars,Ok,yes,0,5.0,https://www.amazon.ca/AmazonBasics-Clear-Badge-Holder-Horizontal/dp/B01DN8TK3I/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:31:30.855193,2020-09-30 09:31:39.249911,Jerry,Clothing & Accessories,B002G9UDYG,B01DN8TK3I
24,24,AHTRP76BBPX55OIOETPFEMRS5HKQ,"March 11, 2018",Five Stars,Ok,yes,0,5.0,https://www.amazon.ca/GBC-Badge-Strap-Clear-3381605111/dp/B000AN3CCU/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-30 09:31:47.346956,2020-09-30 09:31:54.771752,Jerry,Clothing & Accessories,B002G9UDYG,B000AN3CCU
