,Unnamed: 0,author_id,date_review_posted,review_title,reviews,verified_purchase,people_find_helpful,ratings,product_url,start,end,reviewer_name,product_category,product_id,subproduct_id
0,0,AHU2UMK66WMIAMGABWPQSPLUEFAQ,"September 6, 2020",Works Perfect!,"Can't hear my girlfriend talk, 10/10 would buy again.",no,One,5.0,https://www.amazon.ca/Earplugs-Sleeping-Cancelling-Reduction-Musicians/dp/B07PFJ5Y9V/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 19:27:07.943662,2020-09-29 19:27:14.380054,Jacob,Clothing & Accessories,B002G9UDYG,B07PFJ5Y9V
1,1,AHU2UMK66WMIAMGABWPQSPLUEFAQ,"August 4, 2020","Overpriced fans with good RGB, decent software and horrible cable management.","Please note: If you have issues with one of your fans and you purchased the 3 pack, you will be required to send all 3 fans back.

The moment I opened the box and saw all of the cables I knew right away that this was going to be an absolute mess for cable management and I was right. It is nice that it includes the Lighting Node Pro but this creates even more of a mess for cable management. I'll be honest, I gave up and I'm scared to look back to see how bad it looks like now.

If you are looking for performance over RGB, I definitely would not recommend these fans. You're paying for the Corsair branding and for iCUE. If you don't care about RGB, look at fans from Noctua. Way better performance and quality for a fraction of the price of these fans.

I will say that the RGB looks good but not 56$ per fan good. It is nice that it is customizable and able to sync with all other Corsair products especially if you're stuck in their ecosystem like I am. I've had the fans set to static teal since I received them and out of nowhere a few weeks ago, I noticed one of the sections of the fan turned blue instead of teal and this issue is also the same with other colours too.

I've been going back and forth with their customer service and I will say their customer service is pretty good considering what's going on in the world. As I said in the beginning, regardless if you have an issue with 1, 2 or all 3 fans, you will have to send all 3 fans back if you're having any issues. I'm currently in a situation where I do not have any extra fans and I need to use my computer for work but without the 3 fans, my computer will be unusable due to temps. We haven't found a solution to this yet and I'll make sure to update this review once all of this is over.",yes,0,2.0,https://www.amazon.ca/Corsair-LL120-120mm-Triple-Lighting/dp/B07LF1B1Y8/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 19:27:24.480117,2020-09-29 19:27:30.835801,Jacob,Clothing & Accessories,B002G9UDYG,B07LF1B1Y8
2,2,AHU2UMK66WMIAMGABWPQSPLUEFAQ,"July 2, 2020","Decent picture quality, mediocre viewing angles but the worst monitor stand I've ever seen.","I've been gaming on a TV for a while now and wanted to switch over to a monitor instead. Amazon Warehouse had this monitor on sale for around 115$ I believe so figured I'd give it a shot and I regret it.

The picture on the monitor is okay but the viewing angles definitely have some room for improvement especially this being an IPS panel.

I've loved ASUS as a company for years now but I'm so disappointed in them for even selling this monitor with the stand it comes with. I'm not sure if they collaborated with AliExpress or a local dollar store but the quality of the stand that comes with this monitor is absolutely HORRIBLE. It's built horribly, looks cheap and very wobbly.

If I had a rating to give the monitor on its own, it'd give it a 3 star but because of the stand, I have to give it a 2 star. Do yourself a favour and get a BenQ monitor, you'll definitely be happy with that.",yes,2,2.0,https://www.amazon.ca/ASUS-VS239H-P-1920x1080-Back-lit-Monitor/dp/B008DWITHI/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 19:27:38.953497,2020-09-29 19:27:45.354205,Jacob,Clothing & Accessories,B002G9UDYG,B008DWITHI
3,3,AHU2UMK66WMIAMGABWPQSPLUEFAQ,"July 2, 2020","Absolutely no grip to the mouse pad, feels cheap and horrible traction.","I bought this mouse pad to replace this old mouse pad I got years ago after buying a keyboard and I'm very disappointed with my purchase.

The quality of this mouse pad is SIGNIFICANTLY worse than that old cheap free mouse pad I had. The traction is horrible and with the poor grip the mouse pad has, you will basically be moving your mouse pad around with your mouse.

I do not recommend this product what so ever.",yes,0,1.0,https://www.amazon.ca/Lurowo-Multifunctional-Waterproof-Dual-Side-Protector/dp/B07T4P13SF/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 19:27:54.470188,2020-09-29 19:28:01.893862,Jacob,Clothing & Accessories,B002G9UDYG,B07T4P13SF
4,4,AHU2UMK66WMIAMGABWPQSPLUEFAQ,"July 2, 2020",Best cleaner on the market!,"I've been trying to find a good cleaner for a while now and I've finally found it! While the Epsom Salt and isopropyl method works very well, it always leaves a horrible taste after cleaning it and I normally have to let it sit overnight for the taste to go away.

This product is great! Good price, doesn't require a lot of the cleaner to do a deep clean, smells great and does not leave an after taste.

If you're looking for a good cleaner, I highly recommend Orange Chronic Cleaner! If one of my pieces get really dirty, I'll update this review to post a before and after picture!

EDIT: While I love the connivence of Amazon Prime, this package deal is actually more expensive than if you bought 2 bottles individually in a smoke shop. I went to 2 different shops in my area and they were all selling 16oz bottles for 16$ each.",yes,0,5.0,https://www.amazon.ca/Orange-Chronic-Cleaner-16-Pack/dp/B009QD3JPK/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 19:28:10.016662,2020-09-29 19:28:16.447010,Jacob,Clothing & Accessories,B002G9UDYG,B009QD3JPK
5,5,AHU2UMK66WMIAMGABWPQSPLUEFAQ,"June 6, 2020",Stopped working after a month and terrible customer service.,"While the mouse looks and feels good, I'm very disappointed in Razer. They promote how amazing their ""Hyperspeed Connection"" is but it's god awful. For the last year, I've been using this cheap $20 wireless mouse from some Chinese company for work and I've never had a connection with it. You'd imagine this $80 mouse with their ""Hyperspeed Connection"" to be even better right? Well, wrong. I consistently have issues with the mouse freezing on me and/or disconnecting whether I'm on Hyperspeed or Bluetooth mode.

The battery life isn't horrible but it isn't amazing either. I really wish they would have gone with a USB charger instead of batteries but in the end, it's not a huge deal. I had to replace the battery once in about a month of fairly heavy usage which I can't complain about.

Now, the main issue is that the right-click button keeps glitching out and makes it nearly impossible to use it in an FPS game like Call of Duty.

I've reached out to Razer last week regarding this and I've yet to get an answer from them. Even if they're willing to replace this one, I definitely do not plan on purchasing any of their wireless products again.",yes,4,1.0,https://www.amazon.ca/Razer-Basilisk-Hyperspeed-Wireless-Gaming/dp/B07YPBQSCK/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 19:28:26.561702,2020-09-29 19:28:34.014762,Jacob,Clothing & Accessories,B002G9UDYG,B07YPBQSCK
6,6,AHU2UMK66WMIAMGABWPQSPLUEFAQ,"June 5, 2020",This should be included for free when purchasing a monitor from MSI.,"I recently purchased a 27"" MSI G27C2 monitor from Canada Computers and I've been thrilled with it until now.
To start making some room on my desk, I wanted to mount the monitor on my wall. I went ahead, purchased a monitor mount for around 40$-50$ and once it came in, that was when I realized I wasn't able to mount it as there is no included VESA adapter when I purchased the monitor.

Now, this is my fault for not checking that when I purchased my monitor but come on MSI... I paid 80$ for my old monitor and it came with a VESA adapter so why is it my 300$ monitor doesn't come with one? The fact that this metal plate costs 40$ just shows that this is a pure money grab and they're looking to grab as much money as possible from their customers.

The plate does what it needs to do but I definitely do not plan on purchasing or recommending any more products from MSI. Seriously disappointed.",yes,5,1.0,https://www.amazon.ca/Gaming-Monitor-Mount-Adapter-AG242M5/dp/B07NQGF371/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 19:28:42.130371,2020-09-29 19:28:51.488633,Jacob,Clothing & Accessories,B002G9UDYG,B07NQGF371
7,7,AHU2UMK66WMIAMGABWPQSPLUEFAQ,"December 28, 2019","Took forever to setup, begins flickering when the light is OFF and it won’t let me return."," Before writing a negative review, I always want to give it a chance but after trying for 2 days, I’ve given up with giving these lights a chance.

They say just to turn your lights on and off a few times, it’ll make the light start blinking which meant it’s ready to be paired. Well this took me an hour to get ONE of the lights connected because it kept telling me that there was a connection error. Once it was connected, everything worked fine. The light was bright, great colours but the app is a little bit slow which isn’t a big deal. I kept trying with the 2nd light to work but I ended up giving up for the night.

While I’m watching TV last night, the light are turned off but out of nowhere the lights just started flickering on and off with a bunch of different colours (seen in the video I’ve attached to this review).

Considering this product has great reviews, I’m very disappointed. I didn’t want to give it a 1 star because when it works, the light is fine and it seems like it works for a lot of other people but I’m just disappointed on what I received. To put icing on the cake, this product doesn’t have a refund/return option on this order so I guess I’m stuck with these non-functioning lights.",yes,One,2.0,https://www.amazon.ca/Compatible-Assistant-Multicolor-Changing-Dimmable/dp/B07PY5ZFM7/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 19:29:01.652107,2020-09-29 19:29:09.062070,Jacob,Clothing & Accessories,B002G9UDYG,B07PY5ZFM7
8,8,AHU2UMK66WMIAMGABWPQSPLUEFAQ,"December 27, 2019",Great Christmas and/or birthday gift!,"Purchased for my friend's kid's birthday because he loves Marvel and always drinks water from coffee mugs acting like it's coffee to be like his parents. His kid is absolutely obsessed with this mug and carries it around with him everywhere.

The mug is big which puts a big of weight on it, high quality print and easy to wash.",yes,0,5.0,https://www.amazon.ca/Marvel-Buffalo-MV9134-Ceramic-Multicolor/dp/B0168KUU46/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 19:29:16.161115,2020-09-29 19:29:22.553229,Jacob,Clothing & Accessories,B002G9UDYG,B0168KUU46
9,9,AHU2UMK66WMIAMGABWPQSPLUEFAQ,"December 27, 2019","Great quality, doesn't move around on belt and fits Peerless and S&W perfectly.","I've used a few different types of open handcuff pouches from different companies (Aker, Uzi and a few different small companies) and after using these for a year, this pouch has to be the best one. I like to keep both my handcuffs on my back and I never had any sort of issues with these comfort wise even when sitting down. The pouch is great quality, fits both my Peerless and Smith & Wesson chain handcuffs (not ASP unfortunately) perfectly and once they're in, they're in. There has not been a single incident where they came out accidentally.

If you're looking for an open handcuff pouch, I highly recommend these.",yes,0,5.0,https://www.amazon.ca/Bianchi-Accumold-Elite-Basketweave-Black/dp/B000AL5DDI/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-29 19:29:29.663972,2020-09-29 19:29:38.149309,Jacob,Clothing & Accessories,B002G9UDYG,B000AL5DDI
